samengesteld,gegevens,omschrijving,aantal,vereenvoudigd,LandTypeNed,LandTypeWet,opp,SbbType,Bedekking_num
"32-4+09A-1+09-13","vegetatie","Rietgras Typische vorm+Zwarte zegge en Moerasstruisgras Typische vorm+Riet, Hennegras en Moerasstruisgras Hennegras",1,,"RG Rietgras-[Klasse der natte strooiselruigten]+RG Zwarte zegge-Moerasstruisgras-[Vb. Zw. zegge]+RG Hennegras-[Klasse der kleine Zeggen]","RG Phalaris arundinacea-[Convol.-Filupenduletea]+RG Carex nigra - Agrostis canina-[Caricion nig.]+RG Calamagrostis canescens-[Parvocaricetea]",8.1881999999999996e-02,"32-e+09A-a+09-g",
"39A-5+39A1-3","vegetatie","Zwarte els en storingsoorten bramen+Zwarte els, Moerasvaren en/of Grote zeggen Oeverzegge",1,,"RG Gewone braam-[Elzen-verbond]+Moerasvaren-elzenbroek, subassoc. v Oeverzegge","RG Rubus fruticosus-[Alnion glutinosae]+Thelypterido-Alnetum caricetosum ripariae",2.6562000000000002e-01,"39A-b+39A1c",
"40A2-1+39A-2","vegetatie","Zachte berk en Veenmossen Typische vorm+Zachte berk Rietklasse-soorten",1,,"Zompzegge-berkenbroek+RG Zachte berk-[Elzen-verbond]","Carici curtae-Betuletum pubescentis+RG Betula pubescens-[Alnion glutinosae]",9.2421299999999995e-01,"40A2+39A-f",
"09A2-4+09A-1","vegetatie","Kamvaren, veenmossen en Ronde zonnedauw veenpluis+Zwarte zegge en Moerasstruisgras Typische vorm",1,,"Veenmosrietland, subassociatie van pijpestrootje+RG Zwarte zegge-Moerasstruisgras-[Vb. Zw. zegge]","Pallavicinio-Sphagnetum molinietosum+RG Carex nigra - Agrostis canina-[Caricion nig.]",5.8425000000000005e-01,"09A2b+09A-a",
"39A-1+40A2-1","vegetatie","Zachte berk en Veenmossen Rietklassesoorten+Zachte berk en Veenmossen Typische vorm",1,,"RG Zachte berk-[Elzen-verbond]+Zompzegge-berkenbroek","RG Betula pubescens-[Alnion glutinosae]+Carici curtae-Betuletum pubescentis",3.0471500000000001e-01,"39A-f+40A2",
"32-4+300-1+39A1-1","vegetatie","Rietgras Typische vorm+Erven, paden, parkeerplaatsen Erven, paden, parkeerplaatsen+Zwarte els en storingsoorten Rietklassesoorten",1,,"RG Rietgras-[Klasse der natte strooiselruigten]+nvt+Moerasvaren-elzenbroek, typische subassociatie","RG Phalaris arundinacea-[Convol.-Filupenduletea]+nvt+Thelypterido-Alnetum typicum",7.0816000000000004e-02,"32-e+300+39A1a",
"08-5+32-4+08C-1","vegetatie","rietfacies Typische vorm+Rietgras Typische vorm+Oeverzegge Typische vorm",1,,"RG Riet-[Riet-klasse]+RG Rietgras-[Klasse der natte strooiselruigten]+RG Oeverzegge-[Verbond der grote Zeggen]","RG Phragmites australis-[Phragmitetea]+RG Phalaris arundinacea-[Convol.-Filupenduletea]+RG Carex riparia-[Magnocaricion]",2.9219600000000001e-01,"08-f+32-e+08C-a",
"50A-1+08C-5+08B3-3","vegetatie","Open water Typische vorm+Pluimzegge Soortenarme vorm+Riet, Moeraswalstro en Moerasvaren Moerasvaren",1,,"water+RG Pluimzegge-[Verbond der grote Zeggen]+Riet-associatie, subassociatie van Moerasvaren","nvt+RG Carex paniculata-[Magnocaricion]+Typho-Phragmitetum thelypteridetosum",1.4118300000000000e-01,"50A+08C-c+08B3c",
"39A-1+39A-2+39A1-3","vegetatie","Zachte berk en Veenmossen Rietklassesoorten+Zachte berk Rietklasse-soorten+Zwarte els, Moerasvaren en/of Grote zeggen Oeverzegge",1,,"RG Zachte berk-[Elzen-verbond]+RG Zachte berk-[Elzen-verbond]+Moerasvaren-elzenbroek, subassoc. v Oeverzegge","RG Betula pubescens-[Alnion glutinosae]+RG Betula pubescens-[Alnion glutinosae]+Thelypterido-Alnetum caricetosum ripariae",6.6798999999999997e-02,"39A-f+39A-f+39A1c",
"16-13+32-4+09-11","vegetatie","Gest witbol of Eng raaigras en droge storingssoorten Dominantievorm van Kweek+Rietgras Typische vorm+Hennegras Typische vorm",1,,"DG Kweek-[Klasse der vochtige graslanden]+RG Rietgras-[Klasse der natte strooiselruigten]+RG Hennegras-[Klasse der kleine Zeggen]","DG Elymus repens-[Molinio-Arrhenatheretea]+RG Phalaris arundinacea-[Convol.-Filupenduletea]+RG Calamagrostis canescens-[Parvocaricetea]",1.2800400000000001e-01,"16/c+32-e+09-g",
"39A-2+36A2-2","vegetatie","Zachte berk Rietklasse-soorten+Grauwe wilg Typische vorm",6,,"RG Zachte berk-[Elzen-verbond]+Associatie van Grauwe wilg","RG Betula pubescens-[Alnion glutinosae]+Salicetum cinereae",2.2958820000000002e+00,"39A-f+36A2",
"09A2-6+09-13+08C-10","vegetatie","Riet met veenmossen Typische vorm+Riet, Hennegras en Moerasstruisgras Hennegras+Riet met grote zeggen Oeverzegge",1,,"Veenmosrietland, typische subassociatie+RG Hennegras-[Klasse der kleine Zeggen]+RG Oeverzegge-[Verbond der grote Zeggen]","Pallavicinio-Sphagnetum typicum+RG Calamagrostis canescens-[Parvocaricetea]+RG Carex riparia-[Magnocaricion]",3.1458900000000001e-01,"09A2a+09-g+08C-a",
"32-7+08C-10","vegetatie","Riet en ruigtkruiden Bitterzoet+Riet met grote zeggen Oeverzegge",1,,"RG Bitterzoet - Riet-[Kl. natte strooiselruigt.]+RG Oeverzegge-[Verbond der grote Zeggen]","RG Solanum dulcamara-Phragmites a-[Conv.-Filup.]+RG Carex riparia-[Magnocaricion]",1.4774499999999999e-01,"32-d+08C-a",
"09A2-6+08C-10","vegetatie","Riet met veenmossen Typische vorm+Riet met grote zeggen Oeverzegge",2,,"Veenmosrietland, typische subassociatie+RG Oeverzegge-[Verbond der grote Zeggen]","Pallavicinio-Sphagnetum typicum+RG Carex riparia-[Magnocaricion]",7.5581900000000002e-01,"09A2a+08C-a",
"08C-10+40A-2","vegetatie","Riet met grote zeggen Oeverzegge+Zachte berk en Veenmossen Braam",1,,"RG Oeverzegge-[Verbond der grote Zeggen]+RG Gewone braam-[Verbond der berkenbroekbossen]","RG Carex riparia-[Magnocaricion]+RG Rubus fruticosus s.l.-[Betulion pubescentis]",1.2272600000000000e-01,"08C-a+40A-c",
"40A-5+40A-3","vegetatie","Zachte berk Wilde gagel+Zachte berk en Veenmossen Wilde gagel",1,,"RG Wilde gagel-[Verbond der berkenbroekbossen]+RG Wilde gagel-[Verbond der berkenbroekbossen]","RG Myrica gale-[Betulion pubescentis]+RG Myrica gale-[Betulion pubescentis]",7.0648999999999995e-01,"40A-a+40A-a",
"08-5+08C-10+32-9","vegetatie","rietfacies Typische vorm+Riet met grote zeggen Oeverzegge+Riet en ruigtkruiden Haagwinde",4,,"RG Riet-[Riet-klasse]+RG Oeverzegge-[Verbond der grote Zeggen]+RG Haagwinde - Riet-[Kl. natte strooiselruigten]","RG Phragmites australis-[Phragmitetea]+RG Carex riparia-[Magnocaricion]+RG Calystegia sep. - Phragmites a-[Conv.-Filup.]",2.8979360000000001e+00,"08-f+08C-a+32-c",
"36A2-3+39A-1","vegetatie","Grauwe wilg zure soorten+Zachte berk en Veenmossen Rietklassesoorten",1,,"Associatie van Grauwe wilg+RG Zachte berk-[Elzen-verbond]","Salicetum cinereae+RG Betula pubescens-[Alnion glutinosae]",3.1741200000000003e-01,"36A2+39A-f",
"08C-10+39A-2","vegetatie","Riet met grote zeggen Oeverzegge+Zachte berk Rietklasse-soorten",1,,"RG Oeverzegge-[Verbond der grote Zeggen]+RG Zachte berk-[Elzen-verbond]","RG Carex riparia-[Magnocaricion]+RG Betula pubescens-[Alnion glutinosae]",1.9826299999999999e-01,"08C-a+39A-f",
"39A-1+39A1-3+33-2","vegetatie","Zachte berk en Veenmossen Rietklassesoorten+Zwarte els, Moerasvaren en/of Grote zeggen Oeverzegge+Riet en ruigtkruiden bramen",1,,"RG Zachte berk-[Elzen-verbond]+Moerasvaren-elzenbroek, subassoc. v Oeverzegge+DG Gewone braam (R. armeniacus)-[nitrofie.zomen]","RG Betula pubescens-[Alnion glutinosae]+Thelypterido-Alnetum caricetosum ripariae+DG Rubus armeniacus-[Galio-Urticetea]",3.7798700000000002e-01,"39A-f+39A1c+33/a",
"09A2-6+08C-1","vegetatie","Riet met veenmossen Typische vorm+Oeverzegge Typische vorm",1,,"Veenmosrietland, typische subassociatie+RG Oeverzegge-[Verbond der grote Zeggen]","Pallavicinio-Sphagnetum typicum+RG Carex riparia-[Magnocaricion]",2.5072100000000003e-01,"09A2a+08C-a",
"08C-10+32-4+39A1-3","vegetatie","Riet met grote zeggen Oeverzegge+Rietgras Typische vorm+Zwarte els, Moerasvaren en/of Grote zeggen Oeverzegge",1,,"RG Oeverzegge-[Verbond der grote Zeggen]+RG Rietgras-[Klasse der natte strooiselruigten]+Moerasvaren-elzenbroek, subassoc. v Oeverzegge","RG Carex riparia-[Magnocaricion]+RG Phalaris arundinacea-[Convol.-Filupenduletea]+Thelypterido-Alnetum caricetosum ripariae",2.3457100000000000e-01,"08C-a+32-e+39A1c",
"09A2-2+09A2-1+08B3-3","vegetatie","Kamvaren, veenmossen en Ronde zonnedauw Pijpenstrootje+Kamvaren, veenmossen en Ronde zonnedauw Typische vorm+Riet, Moeraswalstro en Moerasvaren Moerasvaren",1,,"Veenmosrietland, subassociatie van pijpestrootje+Veenmosrietland, typische subassociatie+Riet-associatie, subassociatie van Moerasvaren","Pallavicinio-Sphagnetum molinietosum+Pallavicinio-Sphagnetum typicum+Typho-Phragmitetum thelypteridetosum",4.0440599999999999e-01,"09A2b+09A2a+08B3c",
"09-13+32-9","vegetatie","Riet, Hennegras en Moerasstruisgras Hennegras+Riet en ruigtkruiden Haagwinde",5,,"RG Hennegras-[Klasse der kleine Zeggen]+RG Haagwinde - Riet-[Kl. natte strooiselruigten]","RG Calamagrostis canescens-[Parvocaricetea]+RG Calystegia sep. - Phragmites a-[Conv.-Filup.]",1.1712140000000000e+00,"09-g+32-c",
"09A2-2+32-9","vegetatie","Kamvaren, veenmossen en Ronde zonnedauw Pijpenstrootje+Riet en ruigtkruiden Haagwinde",1,,"Veenmosrietland, subassociatie van pijpestrootje+RG Haagwinde - Riet-[Kl. natte strooiselruigten]","Pallavicinio-Sphagnetum molinietosum+RG Calystegia sep. - Phragmites a-[Conv.-Filup.]",5.0434000000000001e-01,"09A2b+32-c",
"08C-9+08C-11+01-1","vegetatie","Riet, Paddenrus en Wateraardbei Verarmde vorm+Riet met grote zeggen Pluimzegge+Kikkerbeet Typische vorm",1,,"RG Padderus-[Verb.grote Zeggen/Kl.kleine Zeggen]+RG Pluimzegge-[Verbond der grote Zeggen]+RG Kikkerbeet-[Eendekroos-kl./Fonteinkruid-kl.]","RG Juncus subnodulosus-[Magnocaricion/Parvocar.]+RG Carex paniculata-[Magnocaricion]+RG Hydrocharis morsus-ranae-[Lemnetea/Potametea]",4.5412000000000001e-02,"08C-e+08C-c+01-b",
"09A2-2+09A2-5","vegetatie","Kamvaren, veenmossen en Ronde zonnedauw Pijpenstrootje+Kamvaren, veenmossen en Ronde zonnedauw Paddenrus",7,,"Veenmosrietland, subassociatie van pijpestrootje+Veenmosrietland, subassociatie van pijpestrootje","Pallavicinio-Sphagnetum molinietosum+Pallavicinio-Sphagnetum molinietosum",1.9278590000000000e+00,"09A2b+09A2b",
"50A-1+01-1","vegetatie","Open water Typische vorm+Kikkerbeet Typische vorm",1,,"water+RG Kikkerbeet-[Eendekroos-kl./Fonteinkruid-kl.]","nvt+RG Hydrocharis morsus-ranae-[Lemnetea/Potametea]",9.7060999999999995e-02,"50A+01-b",
"08C-9+09A2-2","vegetatie","Riet, Paddenrus en Wateraardbei Verarmde vorm+Kamvaren, veenmossen en Ronde zonnedauw Pijpenstrootje",3,,"RG Padderus-[Verb.grote Zeggen/Kl.kleine Zeggen]+Veenmosrietland, subassociatie van pijpestrootje","RG Juncus subnodulosus-[Magnocaricion/Parvocar.]+Pallavicinio-Sphagnetum molinietosum",3.3210499999999998e-01,"08C-e+09A2b",
"39A-4+39A-5+32-6","vegetatie","Zwarte els en storingsoorten Brede stekelvaren+Zwarte els en storingsoorten bramen+Riet en Grote brandnetel Typische vorm.",1,,"RG Brede stekelvaren-[Elzen-verbond]+RG Gewone braam-[Elzen-verbond]+RG Brandnetel-[Klasse d natte strooiselruigten]","RG Dryopteris dilatata-[Alnion glutinosae]+RG Rubus fruticosus-[Alnion glutinosae]+RG Urtica dioica-[Convolvulo-Filipenduletea]",1.2759999999999999e-01,"39A-e+39A-b+32-f",
"39A1-1+32-10+36A2-2","vegetatie","Zwarte els en storingsoorten Rietklassesoorten+Riet en ruigtkruiden Rietgras+Grauwe wilg Typische vorm",1,,"Moerasvaren-elzenbroek, typische subassociatie+RG Rietgras-[Klasse der natte strooiselruigten]+Associatie van Grauwe wilg","Thelypterido-Alnetum typicum+RG Phalaris arundinacea-[Convol.-Filupenduletea]+Salicetum cinereae",3.5687700000000000e-01,"39A1a+32-e+36A2",
"08C-9+08C-11","vegetatie","Riet, Paddenrus en Wateraardbei Verarmde vorm+Riet met grote zeggen Pluimzegge",1,,"RG Padderus-[Verb.grote Zeggen/Kl.kleine Zeggen]+RG Pluimzegge-[Verbond der grote Zeggen]","RG Juncus subnodulosus-[Magnocaricion/Parvocar.]+RG Carex paniculata-[Magnocaricion]",5.9982400000000002e-01,"08C-e+08C-c",
"36A2-2+08C-9","vegetatie","Grauwe wilg Typische vorm+Riet, Paddenrus en Wateraardbei Verarmde vorm",1,,"Associatie van Grauwe wilg+RG Padderus-[Verb.grote Zeggen/Kl.kleine Zeggen]","Salicetum cinereae+RG Juncus subnodulosus-[Magnocaricion/Parvocar.]",3.5061999999999999e-01,"36A2+08C-e",
"09A2-5+09B-4","vegetatie","Kamvaren, veenmossen en Ronde zonnedauw Paddenrus+Riet, Paddenrus en Wateraardbei Typische vorm",8,,"Veenmosrietland, subassociatie van pijpestrootje+RG Klein blaasjeskruid-[Riet-vb./Vb.Draadzegge]","Pallavicinio-Sphagnetum molinietosum+RG Utricularia minor-[Phragmition/Caricion lasi]",1.6718560000000000e+00,"09A2b+09B-a",
"08C-12+32-9","vegetatie","Riet met grote zeggen Moeraszegge+Riet en ruigtkruiden Haagwinde",1,,"RG Moeraszegge-[Verbond der grote Zeggen]+RG Haagwinde - Riet-[Kl. natte strooiselruigten]","RG Carex acutiformis-[Magnocaricion]+RG Calystegia sep. - Phragmites a-[Conv.-Filup.]",8.0335000000000004e-02,"08C-b+32-c",
"08C-9+09A2-8","vegetatie","Riet, Paddenrus en Wateraardbei Verarmde vorm+Riet met veenmossen Pijpenstrootje",1,,"RG Padderus-[Verb.grote Zeggen/Kl.kleine Zeggen]+Veenmosrietland, subassociatie van pijpestrootje","RG Juncus subnodulosus-[Magnocaricion/Parvocar.]+Pallavicinio-Sphagnetum molinietosum",1.2612599999999999e-01,"08C-e+09A2b",
"08C-10+32-9","vegetatie","Riet met grote zeggen Oeverzegge+Riet en ruigtkruiden Haagwinde",1,,"RG Oeverzegge-[Verbond der grote Zeggen]+RG Haagwinde - Riet-[Kl. natte strooiselruigten]","RG Carex riparia-[Magnocaricion]+RG Calystegia sep. - Phragmites a-[Conv.-Filup.]",1.5474199999999999e-01,"08C-a+32-c",
"09A2-8+08C-12+32-9","vegetatie","Riet met veenmossen Pijpenstrootje+Riet met grote zeggen Moeraszegge+Riet en ruigtkruiden Haagwinde",1,,"Veenmosrietland, subassociatie van pijpestrootje+RG Moeraszegge-[Verbond der grote Zeggen]+RG Haagwinde - Riet-[Kl. natte strooiselruigten]","Pallavicinio-Sphagnetum molinietosum+RG Carex acutiformis-[Magnocaricion]+RG Calystegia sep. - Phragmites a-[Conv.-Filup.]",1.8652600000000000e-01,"09A2b+08C-b+32-c",
"09-13+08C-9+08B3-3","vegetatie","Riet, Hennegras en Moerasstruisgras Hennegras+Riet, Paddenrus en Wateraardbei Verarmde vorm+Riet, Moeraswalstro en Moerasvaren Moerasvaren",1,,"RG Hennegras-[Klasse der kleine Zeggen]+RG Padderus-[Verb.grote Zeggen/Kl.kleine Zeggen]+Riet-associatie, subassociatie van Moerasvaren","RG Calamagrostis canescens-[Parvocaricetea]+RG Juncus subnodulosus-[Magnocaricion/Parvocar.]+Typho-Phragmitetum thelypteridetosum",1.8735099999999999e-01,"09-g+08C-e+08B3c",
"08B3-3+09-13+09B-4","vegetatie","Riet, Moeraswalstro en Moerasvaren Moerasvaren+Riet, Hennegras en Moerasstruisgras Hennegras+Riet, Paddenrus en Wateraardbei Typische vorm",1,,"Riet-associatie, subassociatie van Moerasvaren+RG Hennegras-[Klasse der kleine Zeggen]+RG Klein blaasjeskruid-[Riet-vb./Vb.Draadzegge]","Typho-Phragmitetum thelypteridetosum+RG Calamagrostis canescens-[Parvocaricetea]+RG Utricularia minor-[Phragmition/Caricion lasi]",7.1081799999999995e-01,"08B3c+09-g+09B-a",
"39A-2+32-9","vegetatie","Zachte berk Rietklasse-soorten+Riet en ruigtkruiden Haagwinde",1,,"RG Zachte berk-[Elzen-verbond]+RG Haagwinde - Riet-[Kl. natte strooiselruigten]","RG Betula pubescens-[Alnion glutinosae]+RG Calystegia sep. - Phragmites a-[Conv.-Filup.]",1.2752700000000000e-01,"39A-f+32-c",
"39A1-1+32-9","vegetatie","Zwarte els en storingsoorten Rietklassesoorten+Riet en ruigtkruiden Haagwinde",1,,"Moerasvaren-elzenbroek, typische subassociatie+RG Haagwinde - Riet-[Kl. natte strooiselruigten]","Thelypterido-Alnetum typicum+RG Calystegia sep. - Phragmites a-[Conv.-Filup.]",5.1842999999999993e-02,"39A1a+32-c",
"32-9+09-13","vegetatie","Riet en ruigtkruiden Haagwinde+Riet, Hennegras en Moerasstruisgras Hennegras",6,,"RG Haagwinde - Riet-[Kl. natte strooiselruigten]+RG Hennegras-[Klasse der kleine Zeggen]","RG Calystegia sep. - Phragmites a-[Conv.-Filup.]+RG Calamagrostis canescens-[Parvocaricetea]",7.4580299999999999e-01,"32-c+09-g",
"08C-3+08C-12+32-10","vegetatie","Moeraszegge Soortenarme vorm+Riet met grote zeggen Moeraszegge+Riet en ruigtkruiden Rietgras",1,,"RG Moeraszegge-[Verbond der grote Zeggen]+RG Moeraszegge-[Verbond der grote Zeggen]+RG Rietgras-[Klasse der natte strooiselruigten]","RG Carex acutiformis-[Magnocaricion]+RG Carex acutiformis-[Magnocaricion]+RG Phalaris arundinacea-[Convol.-Filupenduletea]",4.6275400000000000e-01,"08C-b+08C-b+32-e",
"39A1-1+39A-4","vegetatie","Zwarte els en storingsoorten Rietklassesoorten+Zwarte els en storingsoorten Brede stekelvaren",2,,"Moerasvaren-elzenbroek, typische subassociatie+RG Brede stekelvaren-[Elzen-verbond]","Thelypterido-Alnetum typicum+RG Dryopteris dilatata-[Alnion glutinosae]",7.4844500000000003e-01,"39A1a+39A-e",
"50A-1+08C-5","vegetatie","Open water Typische vorm+Pluimzegge Soortenarme vorm",1,,"water+RG Pluimzegge-[Verbond der grote Zeggen]","nvt+RG Carex paniculata-[Magnocaricion]",6.5445000000000003e-02,"50A+08C-c",
"08-5+08B3-3","vegetatie","rietfacies Typische vorm+Riet, Moeraswalstro en Moerasvaren Moerasvaren",5,,"RG Riet-[Riet-klasse]+Riet-associatie, subassociatie van Moerasvaren","RG Phragmites australis-[Phragmitetea]+Typho-Phragmitetum thelypteridetosum",1.0604309999999999e+00,"08-f+08B3c",
"08B3-4","vegetatie","Riet, Moeraswalstro en Moerasvaren Typische vorm",12,,"Riet-associatie, subassociatie van Moerasvaren","Typho-Phragmitetum thelypteridetosum",1.1775210000000000e+00,"08B3c","90"
"08B3-5","vegetatie","Riet, Moeraswalstro en Moerasvaren Kale jonker, moerasrolklaver en/of Echte koekoeksbl",6,,"Riet-associatie, subassociatie van Dotterbloem","Typho-Phragmitetum calthetosum",9.7736599999999996e-01,"08B3b","90"
"08B3-8","vegetatie","Riet, Hennegras en Moerasstruisgras Pijpenstrootje",8,,"Riet-associatie, soortenarme subassociatie","Typho-Phragmitetum inops",1.2643490000000002e+00,"08B3d","100"
"08C-10","vegetatie","Riet met grote zeggen Oeverzegge",8,,"RG Oeverzegge-[Verbond der grote Zeggen]","RG Carex riparia-[Magnocaricion]",1.0940059999999998e+00,"08C-a","100"
"08C-11","vegetatie","Riet met grote zeggen Pluimzegge",6,,"RG Pluimzegge-[Verbond der grote Zeggen]","RG Carex paniculata-[Magnocaricion]",3.6273300000000003e-01,"08C-c","80"
"08C-12","vegetatie","Riet met grote zeggen Moeraszegge",4,,"RG Moeraszegge-[Verbond der grote Zeggen]","RG Carex acutiformis-[Magnocaricion]",4.2157600000000001e-01,"08C-b","100"
"08C-2","vegetatie","Oeverzegge Grazige vorm",1,,"RG Oeverzegge-[Verbond der grote Zeggen]","RG Carex riparia-[Magnocaricion]",1.0991900000000000e-01,"08C-a","100"
"08C-3","vegetatie","Moeraszegge Soortenarme vorm",1,,"RG Moeraszegge-[Verbond der grote Zeggen]","RG Carex acutiformis-[Magnocaricion]",1.0003400000000000e-01,"08C-b","80"
"08C-5","vegetatie","Pluimzegge Soortenarme vorm",1,,"RG Pluimzegge-[Verbond der grote Zeggen]","RG Carex paniculata-[Magnocaricion]",4.3919000000000000e-02,"08C-c","85"
"08C-6","vegetatie","Pluimzegge Typische vorm",2,,"RG Pluimzegge-[Verbond der grote Zeggen]","RG Carex paniculata-[Magnocaricion]",8.6083999999999994e-02,"08C-c","100"
"08C-9","vegetatie","Riet, Paddenrus en Wateraardbei Verarmde vorm",15,,"RG Padderus-[Verb.grote Zeggen/Kl.kleine Zeggen]","RG Juncus subnodulosus-[Magnocaricion/Parvocar.]",2.9123789999999996e+00,"08C-e","90"
"08C1-3","vegetatie","Hoge cyperzegge, Pluimzegge en Moerasvaren Moerasvaren",3,,"Ass. Waterscheerl.-H.cyperzegge, sub Moerasvaren","Cicuto-Caricetum thelypteridetosum",1.7430700000000002e-01,"08C1c","90"
"08C1-4","vegetatie","Riet, Paddenrus en Wateraardbei Waterscheerling en Holpijp",1,,"Ass. Waterscheerl.-H.cyperzeg., sub Waterdriebl.","Cicuto-Caricetum menyanthetosum",1.8579999999999999e-02,"08C1d","100"
"08C2-1","vegetatie","Scherpe zegge Soortenarme vorm",2,,"Associatie v Scherpe zegge, soortenarme subass.","Caricetum gracilis inops",2.4376700000000001e-01,"08C2c","100"
"08C2-3","vegetatie","Scherpe zegge Tweerijige zegge",1,,"Associatie v Scherpe zegge, typische subassoc.","Caricetum gracilis typicum",2.1099400000000001e-01,"08C2a","100"
"08C5-1","vegetatie","Galigaan Typische vorm",2,,"Galigaan-associatie, verarmde subassociatie","Cladietum marisci inops",3.4276000000000001e-02,"08C5b","100"
"09-1","vegetatie","Zwarte zegge en Moerasstruisgras Wateraardbei",5,,"RG Snavelzegge-Wateraardbei-[Kl. kleine Zeggen]","RG Carex rostrata - Potentilla pal.-[Parvocar.]",2.8104300000000004e-01,"09-f","100"
"09-10","vegetatie","Pijpenstrootje Typische vorm",1,,"RG Pijpestro-Gw.veenmos-[K.kl.Zeg/V.Biezk.Pijps]","RG Molinia caer-Sphagn pal-[Parvocar/J-Molinion]",6.1282999999999990e-02,"09-i","90"
"09-11","vegetatie","Hennegras Typische vorm",13,,"RG Hennegras-[Klasse der kleine Zeggen]","RG Calamagrostis canescens-[Parvocaricetea]",1.7429270000000003e+00,"09-g","100"
"09-12","vegetatie","Natte Pitrusruigten zure soorten",10,,"RG Pitrus-[Klasse der kleine Zeggen]","RG Juncus effusus-[Parvocaricetea]",4.9998100000000006e-01,"09-k","100"
"09-13","vegetatie","Riet, Hennegras en Moerasstruisgras Hennegras",32,,"RG Hennegras-[Klasse der kleine Zeggen]","RG Calamagrostis canescens-[Parvocaricetea]",4.7669680000000003e+00,"09-g","100"
"09-14","vegetatie","Pijpenstrootje meer dan 10% zure soorten",3,,"RG Pijpestro-Gw.veenmos-[K.kl.Zeg/V.Biezk.Pijps]","RG Molinia caer-Sphagn pal-[Parvocar/J-Molinion]",2.5066900000000003e-01,"09-i","100"
