intern_id,ElmID,Datum,Locatietype,SamengesteldeLegenda,VereenvoudigdeLegenda,ToevoegingLegenda,InterpretatieLegenda,AbiotiekLegenda,Oppervlakte,SbbType
1252,19532,"08/30/13 00:00:00","v","32-9+16B-6+16-13","19","e1+r2",,,1.7734000000000000e-01,"32-c+16B/a+16/c"
1253,19533,"08/30/13 00:00:00","v","32-9+32-4","19","e1",,,3.4515200000000001e-01,"32-c+32-e"
1254,20001,"08/28/13 00:00:00","v","32-4+32-5","19","e1+q",,,2.6537500000000003e-01,"32-e+32-f"
1255,20002,"08/28/13 00:00:00","v","16-13+16B-6+05D-1","14","e1+r4",,,8.5698999999999997e-02,"16/c+16B/a+05D-a"
1256,20003,"08/28/13 00:00:00","v","32-4+12B-1+08-5","19","e1+q",,,4.2616900000000008e-01,"32-e+12B-j+08-f"
1257,20004,"08/28/13 00:00:00","v","32-4+08-5","19","e1+q+t",,,5.4851000000000005e-01,"32-e+08-f"
1258,20005,"08/28/13 00:00:00","v","50A-1+29A1-1","1","e1+t",,,5.1843600000000001e-01,"50A+29A1"
1259,20006,"08/28/13 00:00:00","v","32-4+08-5","19","e1+q",,,8.0564000000000002e-01,"32-e+08-f"
1261,20008,"08/28/13 00:00:00","v","16-13+16B-6","14","e1+r3",,,4.1401900000000003e-01,"16/c+16B/a"
1262,20009,"08/28/13 00:00:00","v","32-4+12-1","19","e1+r4",,,6.5072700000000006e-01,"32-e+12-a"
1263,20010,"08/28/13 00:00:00","v","16B-6+16-13+05D-1","14","e1+r4",,,2.5448199999999999e-01,"16B/a+16/c+05D-a"
1266,20013,"08/28/13 00:00:00","v","16B-6+16-13+05D-1","14","e1+r4",,,5.2201900000000001e-01,"16B/a+16/c+05D-a"
1267,20014,"08/28/13 00:00:00","v","16-13+16-3","14","e1+r1",,,1.1322599999999999e-01,"16/c+16-l"
1268,20015,"08/28/13 00:00:00","v","32-4+32-10","19","e1+q+r4+t",,,1.0133120000000000e+00,"32-e+32-e"
1269,20016,"08/28/13 00:00:00","v","32-4+32-10","19","e1+q+r3",,,7.0022000000000001e-02,"32-e+32-e"
1270,20017,"08/28/13 00:00:00","v","08-6+29A1-1","7","e1+q+r1+t",,,1.1343699999999998e-01,"08-a+29A1"
1271,20018,"08/28/13 00:00:00","v","08-6+32-4+08-5","7","e1+q+r2",,,2.7683300000000000e-01,"08-a+32-e+08-f"
1273,20020,"08/28/13 00:00:00","v","32-5+32-4+16-13+05D-1","19","e1+r2",,,2.1733300000000000e-01,"32-f+32-e+16/c+05D-a"
1274,20021,"08/28/13 00:00:00","v","16-13+32-4","14","e1+r2",,,3.3378000000000002e-01,"16/c+32-e"
