Locatie,SoortCode,Bedekking,Aantalsklasse,Bedekking_num
1347,997,"lf","4",3
1347,1099,"o","3",3
1347,427,"lf","4",3
1348,1099,"r","2",1
1348,427,"la","4",9
1349,997,"r","3",1
1349,1099,"r","3",1
1349,1255,"o","3",3
1350,997,"o","4",3
1350,1099,"r","3",1
1350,1255,"o","3",3
1351,1099,"r","3",1
1351,1255,"r","3",1
1351,427,"o","3",3
1352,997,"r","3",1
1352,1099,"r","3",1
1352,1255,"s","2",1
1353,1099,"r","3",1
1353,1255,"s","2",1
1353,427,"la","4",9
1353,985,"s","3",1
1354,997,"o","4",3
1354,1099,"s","2",1
1357,212,"r","3",1
1357,1099,"r","3",1
1357,1255,"la","4",9
1357,427,"o","4",3
1358,997,"r","3",1
1358,1099,"o","3",3
1358,427,"lf","4",3
1359,997,"r","3",1
1359,1099,"o","3",3
1359,427,"lf","4",3
1367,427,"o","3",3
1368,1099,"r","2",1
1370,427,"f","4",8
1371,420,"f","5",8
1371,688,"o","4",3
1371,427,"o","3",3
1372,688,"o","3",3
1372,997,"o","3",3
1372,1099,"r","2",1
1372,427,"ld","5",22
1372,2153,"o","3",3
1373,420,"lf","5",3
1373,688,"o","3",3
1373,427,"o","4",3
1374,997,"o","3",3
1374,427,"ld","5",22
1374,2153,"o","3",3
1375,427,"o","3",3
1376,420,"lf","4",3
1376,997,"o","3",3
1376,2153,"o","3",3
1377,688,"o","3",3
1377,1099,"r","2",1
1377,427,"f","4",8
1378,420,"lf","5",3
1378,688,"o","4",3
1378,427,"lf","4",3
1379,427,"lf","3",3
1382,420,"o","3",3
1382,688,"r","2",1
1383,420,"lf","4",3
1383,456,"r","2",1
1383,688,"r","3",1
1383,427,"la","5",9
1384,427,"f","4",8
1386,427,"o","3",3
1387,420,"lf","3",3
1387,688,"lf","3",3
1387,427,"r","2",1
1388,688,"o","3",3
1388,427,"lf","3",3
1389,420,"o","3",3
1390,420,"lf","4",3
1392,178,"f","4",8
1395,1099,"r","2",1
1395,427,"f","4",8
1397,1099,"o","3",3
1397,427,"lf","4",3
1398,420,"f","5",8
1399,346,"o","3",3
1399,1255,"o","3",3
